keys,fold
DSC00592.JPG3640385,0
DSC04329.JPG5996544,0
DSC09270.JPG5505024,0
DSC00436.JPG5799936,0
DSC04470.JPG7372800,0
DSC02625.JPG5636096,0
DSC03869.JPG6782976,0
DSC00933.JPG7700480,0
DSC04425.JPG6488064,0
DSC04582.JPG10190848,0
DSC00916.JPG7438336,0
DSC09331.JPG4902505,0
DSC09028.JPG5391577,0
DSC08558.JPG5537792,0
DSC00486.JPG5767168,0
DSC08560.JPG5570560,0
DSC04388.JPG7208960,0
DSC04418.JPG6651904,0
DSC00712.JPG5865472,0
DSC04461.JPG7405568,0
DSC04459.JPG7340032,0
DSC03797.JPG5570560,0
DSC04577.JPG9633792,0
DSC04576.JPG9568256,0
DSC09322.JPG5242880,0
DSC09576.JPG6193152,0
DSC09096.JPG5963776,0
DSC03798.JPG5603328,0
DSC00393.JPG5668864,0
DSC09572.JPG6160384,0
DSC00608.JPG3654427,0
DSC00611.JPG3628942,0
DSC04572.JPG9469952,0
DSC04393.JPG7143424,0
DSC00753.JPG5931008,0
DSC00606.JPG3676320,0
DSC04454.JPG6848512,0
DSC04460.JPG7340032,0
DSC00604.JPG3664430,0
DSC03184.JPG9601024,0
DSC00589.JPG3690918,0
DSC04427.JPG6520832,0
DSC00599.JPG3657387,0
DSC09094.JPG5963776,0
DSC00435.JPG5734400,0
DSC04428.JPG6553600,0
DSC00713.JPG5898240,0
DSC09569.JPG6193152,0
DSC03998.JPG7864320,0
DSC00591.JPG3642362,0
DSC09027.JPG5364734,0
DSC04471.JPG7372800,0
DSC04462.JPG7405568,0
DSC03705.JPG5898240,1
DSC00926.JPG7733248,1
DSC04429.JPG6553600,1
DSC04328.JPG5996544,1
DSC00722.JPG5963776,1
DSC09086.JPG5505024,1
DSC03796.JPG5570560,1
DSC09571.JPG6160384,1
DSC00394.JPG5636096,1
DSC00595.JPG3669922,1
DSC00587.JPG3676942,1
DSC04465.JPG7405568,1
DSC02676.JPG4849664,1
DSC09040.JPG5491872,1
DSC00605.JPG3664514,1
DSC08488.JPG5341184,1
DSC09075.JPG5701632,1
DSC09577.JPG6193152,1
DSC09032.JPG5701632,1
DSC09022.JPG5799936,1
DSC00927.JPG7798784,1
DSC00607.JPG3660676,1
DSC00433.JPG5963776,1
DSC00484.JPG5832704,1
DSC04584.JPG10190848,1
